fid,id,N37W123,X,Y
"269","3",,6039973.2209000001,2128082.7925999998
"270","3",,6040973.2209000001,2128082.7925999998
"271","3",,6041973.2209000001,2128082.7925999998
"272","3",,6042973.2209000001,2128082.7925999998
"273","3",,6043973.2209000001,2128082.7925999998
"274","3",,6044973.2209000001,2128082.7925999998
"275","3",,6045973.2209000001,2128082.7925999998
"276","3",,6046973.2209000001,2128082.7925999998
"277","3",,6047973.2209000001,2128082.7925999998
"278","3",,6048973.2209000001,2128082.7925999998
"279","3",,6049973.2209000001,2128082.7925999998
"280","3",,6050973.2209000001,2128082.7925999998
"281","3",,6051973.2209000001,2128082.7925999998
"282","3",,6052973.2209000001,2128082.7925999998
"283","3",,6053973.2209000001,2128082.7925999998
"284","3",,6054973.2209000001,2128082.7925999998
"285","3",,6055973.2209000001,2128082.7925999998
"286","3",,6056973.2209000001,2128082.7925999998
"287","3",,6057973.2209000001,2128082.7925999998
"288","3",,6058973.2209000001,2128082.7925999998
"289","3",,6059973.2209000001,2128082.7925999998
"290","3",,6060973.2209000001,2128082.7925999998
"291","3",,6061973.2209000001,2128082.7925999998
"292","3",,6062973.2209000001,2128082.7925999998
"293","3",,6063973.2209000001,2128082.7925999998
"294","3",,6064973.2209000001,2128082.7925999998
"295","3",,6065973.2209000001,2128082.7925999998
"296","3",,6066973.2209000001,2128082.7925999998
"297","3",,6067973.2209000001,2128082.7925999998
"298","3",,6068973.2209000001,2128082.7925999998
"299","3",,6069973.2209000001,2128082.7925999998
"300","3",,6070973.2209000001,2128082.7925999998
"301","3",,6071973.2209000001,2128082.7925999998
"302","3",,6072973.2209000001,2128082.7925999998
"303","3",,6073973.2209000001,2128082.7925999998
"304","3",,6074973.2209000001,2128082.7925999998
"305","3",,6075973.2209000001,2128082.7925999998
"306","3",,6076973.2209000001,2128082.7925999998
"307","3",,6077973.2209000001,2128082.7925999998
"308","3",,6078973.2209000001,2128082.7925999998
"309","3",,6079973.2209000001,2128082.7925999998
"310","3",,6080973.2209000001,2128082.7925999998
"311","3",,6081973.2209000001,2128082.7925999998
"312","3",,6082973.2209000001,2128082.7925999998
"313","3",,6083973.2209000001,2128082.7925999998
"314","3",,6084973.2209000001,2128082.7925999998
"315","3",,6085973.2209000001,2128082.7925999998
"316","3",,6086973.2209000001,2128082.7925999998
"317","3",,6087973.2209000001,2128082.7925999998
"318","3",,6088973.2209000001,2128082.7925999998
"319","3",,6089973.2209000001,2128082.7925999998
"320","3",,6090973.2209000001,2128082.7925999998
"321","3",,6091973.2209000001,2128082.7925999998
"322","3",,6092973.2209000001,2128082.7925999998
"323","3",,6093973.2209000001,2128082.7925999998
"324","3",,6094973.2209000001,2128082.7925999998
"325","3",,6095973.2209000001,2128082.7925999998
"326","3",,6096973.2209000001,2128082.7925999998
"327","3",,6097973.2209000001,2128082.7925999998
"328","3",,6098973.2209000001,2128082.7925999998
"329","3",,6099973.2209000001,2128082.7925999998
"330","3",,6100973.2209000001,2128082.7925999998
"331","3",,6101973.2209000001,2128082.7925999998
"332","3",,6102973.2209000001,2128082.7925999998
"333","3",,6103973.2209000001,2128082.7925999998
"334","3",,6104973.2209000001,2128082.7925999998
"335","3",,6105973.2209000001,2128082.7925999998
"336","3",,6106973.2209000001,2128082.7925999998
"337","3",,6107973.2209000001,2128082.7925999998
"338","3",,6108973.2209000001,2128082.7925999998
"339","3",,6109973.2209000001,2128082.7925999998
"340","3",,6110973.2209000001,2128082.7925999998
"341","3",,6111973.2209000001,2128082.7925999998
"342","3",,6112973.2209000001,2128082.7925999998
"343","3",,6113973.2209000001,2128082.7925999998
"344","3",,6114973.2209000001,2128082.7925999998
"345","3",,6115973.2209000001,2128082.7925999998
"346","3",,6116973.2209000001,2128082.7925999998
"347","3",,6117973.2209000001,2128082.7925999998
"348","3",,6118973.2209000001,2128082.7925999998
"349","3",,6119973.2209000001,2128082.7925999998
"350","3",,6120973.2209000001,2128082.7925999998
"351","3",,6121973.2209000001,2128082.7925999998
"352","3",,6122973.2209000001,2128082.7925999998
"353","3",,6123973.2209000001,2128082.7925999998
"354","3",,6124973.2209000001,2128082.7925999998
"355","3",,6125973.2209000001,2128082.7925999998
"356","3",,6126973.2209000001,2128082.7925999998
"357","3",,6127973.2209000001,2128082.7925999998
"358","3",,6128973.2209000001,2128082.7925999998
"359","3",,6129973.2209000001,2128082.7925999998
"360","3",,6130973.2209000001,2128082.7925999998
"361","3",,6131973.2209000001,2128082.7925999998
"362","3",,6132973.2209000001,2128082.7925999998
"363","3",,6133973.2209000001,2128082.7925999998
"364","3",,6134973.2209000001,2128082.7925999998
"365","3",,6135973.2209000001,2128082.7925999998
"366","3",,6136973.2209000001,2128082.7925999998
"367","3",,6137973.2209000001,2128082.7925999998
"368","3",,6138973.2209000001,2128082.7925999998
"369","3",,6139973.2209000001,2128082.7925999998
"370","3",,6140973.2209000001,2128082.7925999998
"371","3",,6141973.2209000001,2128082.7925999998
"372","3",,6142973.2209000001,2128082.7925999998
"373","3",,6143973.2209000001,2128082.7925999998
"374","3",,6144973.2209000001,2128082.7925999998
"375","3",,6145973.2209000001,2128082.7925999998
"376","3",,6146973.2209000001,2128082.7925999998
"377","3",,6147973.2209000001,2128082.7925999998
"378","3",,6148973.2209000001,2128082.7925999998
"379","2",,5960973.2209000001,2131363.6324999998
"380","2",,5961973.2209000001,2131363.6324999998
"381","2",,5962973.2209000001,2131363.6324999998
"382","2",,5963973.2209000001,2131363.6324999998
"383","2",,5964973.2209000001,2131363.6324999998
"384","2",,5965973.2209000001,2131363.6324999998
"385","2",,5966973.2209000001,2131363.6324999998
"386","2",,5967973.2209000001,2131363.6324999998
"387","2",,5968973.2209000001,2131363.6324999998
"388","2",,5969973.2209000001,2131363.6324999998
"389","2",,5970973.2209000001,2131363.6324999998
"390","2",,5971973.2209000001,2131363.6324999998
"391","2",,5972973.2209000001,2131363.6324999998
"392","2",,5973973.2209000001,2131363.6324999998
"393","2",,5974973.2209000001,2131363.6324999998
"394","2",,5975973.2209000001,2131363.6324999998
"395","2",,5976973.2209000001,2131363.6324999998
"396","2",,5977973.2209000001,2131363.6324999998
"397","2",,5978973.2209000001,2131363.6324999998
"398","2",,5979973.2209000001,2131363.6324999998
"399","2",,5980973.2209000001,2131363.6324999998
"400","2",,5981973.2209000001,2131363.6324999998
"401","2",,5982973.2209000001,2131363.6324999998
"402","2",,5983973.2209000001,2131363.6324999998
"403","2",,5984973.2209000001,2131363.6324999998
"404","2",,5985973.2209000001,2131363.6324999998
"405","2",,5986973.2209000001,2131363.6324999998
"406","2",,5987973.2209000001,2131363.6324999998
"407","2",,5988973.2209000001,2131363.6324999998
"408","2",,5989973.2209000001,2131363.6324999998
"409","2",,5990973.2209000001,2131363.6324999998
"410","2",,5991973.2209000001,2131363.6324999998
"411","2",,5992973.2209000001,2131363.6324999998
"412","2",,5993973.2209000001,2131363.6324999998
"413","2",,5994973.2209000001,2131363.6324999998
"414","2",,5995973.2209000001,2131363.6324999998
"415","2",,5996973.2209000001,2131363.6324999998
